Country,Continent,Least Developed,Life Expectancy,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita,High GDP per capita
Bangladesh,Asia,True,66.886,0.212401957,2.30958843,122.9863866,14.67874549,1524.346032,0.163877665,95.24974068,1.4,0.00065,False
Bangladesh,Asia,True,67.331,0.222868797,2.33950281,129.3923379,14.654173,1620.885204,0.199036334,95.42010696,1.5,0.00073,False
Bangladesh,Asia,True,67.773,0.235263641,2.41363597,165.308346,14.62960052,1754.727931,0.241637326,95.59186057,1.6,0.00012,False
Bangladesh,Asia,True,68.213,0.254752395,2.48439622,176.0773264,14.60502804,1903.738526,1.0,95.76021655,1.7,0.00101,False
Bangladesh,Asia,True,68.648,0.266296791,2.55897784,196.9399144,14.58045556,2067.677468,1.8,95.92502197,1.8,0.00092,False
Bangladesh,Asia,True,69.072,0.288141386,2.48848343,206.104875,14.55588308,2208.616328,2.5,96.0861324,1.9,0.00089,False
Bangladesh,Asia,True,69.485,0.306664813,2.56097794,207.526929,14.53130983,2308.982807,3.1,96.24343833,2.1,0.00151,False
Bangladesh,Asia,True,69.881,0.342739986,2.68101048,226.0479448,14.50673734,2439.337003,3.7,96.39688709,2.2,0.0,False
Bangladesh,Asia,True,70.256,0.364566595,2.76118398,247.2633775,14.4991442,2620.83379,4.5,96.54632933,2.4,0.0,False
Bangladesh,Asia,True,70.606,0.384025166,2.74823475,265.6405673,14.49155105,2937.628798,5.0,96.69158904,2.6,0.0,False
Bangladesh,Asia,True,70.93,0.396697028,2.65446854,283.4660589,14.4839579,3143.585503,6.63,96.83255493,2.7,0.0,False
Bangladesh,Asia,True,71.231,0.413092687,2.65588379,301.967618,14.47636475,3368.056164,11.9,96.96925348,2.9,0.0,False
Bangladesh,Asia,True,71.514,0.461997426,2.63947296,320.2099233,14.46877161,3555.50526,12.9,97.10160247,3.1,0.0,False
Belarus,Europe,False,68.91219512,5.304816521,5.2760601,3005.364257,40.78423253,5801.75813,1.860398126,99.27228634,19.9,1.18575,False
Belarus,Europe,False,68.50731707,5.225335545,5.70827103,2996.309475,40.9610341,6244.747744,4.300616022,99.27585121,20.2,1.15,False
Belarus,Europe,False,68.05609756,5.254649833,5.62329483,3009.402482,41.14007366,6704.592279,8.950971315,99.27938665,20.6,2.73,False
Belarus,Europe,False,68.55365854,5.379335611,5.76984167,3000.745625,41.3166951,7369.845906,11.407,99.28288538,20.9,3.2,False
Belarus,Europe,False,68.95609756,5.759420354,5.73709631,3063.056939,41.49495846,8491.894839,13.784,99.06604793,21.3,1.3344,False
Belarus,Europe,False,68.85121951,5.875465459,6.07036781,3174.053092,41.66728294,9647.121181,14.314,98.81829548,21.7,1.55644,False
Belarus,Europe,False,69.40487805,6.15517613,5.57381344,3245.372088,41.82864803,11006.45591,16.2,98.56788355,22.1,1.95326,False
Belarus,Europe,False,70.20731707,6.029733806,5.69203281,3365.981865,42.00521437,12332.50292,19.7,98.31485789,22.4,2.28644,False
Belarus,Europe,False,70.45609756,6.352864617,5.29415369,3393.908536,42.18095435,13898.99968,23.0,98.0592468,22.8,2.45578,False
Belarus,Europe,False,70.40731707,6.03919199,5.39037848,3481.743517,42.3577364,14050.57156,27.43,97.80112807,23.3,2.33006,False
Belarus,Europe,False,70.40487805,6.50264283,5.65693998,3299.460902,42.53284837,15361.83171,31.8,97.53976199,23.7,2.37,False
Belarus,Europe,False,70.55365854,6.18814293,4.87438536,3566.173013,42.53462126,16563.20141,39.64889566,97.27530465,24.1,2.3,False
Belarus,Europe,False,71.96585366,6.344981391,5.245327,3632.87856,42.54037723,18105.28672,46.91,97.00804146,24.6,2.19,True
Belarus,Europe,False,72.47073171,6.352712195,5.69559479,3704.309041,42.54194019,18994.19019,54.17,96.73802951,25.1,2.36,True
Belarus,Europe,False,72.97073171,6.29728587,5.38793373,3657.124679,42.53176531,19008.06102,59.02,96.46534969,25.6,2.16,True
Belarus,Europe,False,73.62439024,5.79426692,6.06533337,3690.103683,42.53416626,18095.66518,62.23036091,96.47706709,26.1,2.0,True
Belgium,Europe,False,77.72195122,11.43958054,7.9991765,7944.129807,22.03764861,27784.5715,29.43169169,100.0000036,18.6,6.14678,True
Belgium,Europe,False,77.97317073,11.50432068,8.14988804,8247.677113,22.11218626,28788.06284,31.28839551,99.99999586,19.0,6.07269,True
Belgium,Europe,False,78.07560976,10.72798848,8.3182106,8267.187216,22.18672391,30282.28865,46.33,99.99999971,19.4,6.07494,True
Belgium,Europe,False,78.12926829,11.13131453,9.20823288,8311.892679,22.26126156,30932.85251,49.97,100.0000012,19.7,6.125,True
Belgium,Europe,False,78.87804878,10.94122423,9.36721516,8411.900657,22.33579921,32063.08032,53.86,100.0000032,20.1,5.92835,True
Belgium,Europe,False,78.9804878,10.55578237,9.26114464,8576.223497,22.41033686,33177.89095,55.82,100.0000006,20.5,6.05073,True
Belgium,Europe,False,79.3804878,10.30057207,9.16102505,8509.997073,22.4848745,35259.18671,59.72,100.0000006,20.8,5.59583,True
Belgium,Europe,False,79.78292683,9.843115874,9.16611385,8683.671285,22.55941215,36791.20043,64.44,99.99999572,21.1,5.21181,True
Belgium,Europe,False,79.6804878,9.984152183,9.63002014,8614.679503,22.6339498,37883.33194,66.0,99.99999802,21.5,5.03741,True
Belgium,Europe,False,80.03414634,9.231701273,10.35455036,8521.49674,22.70848745,37749.50954,70.0,100.0000017,21.8,4.9406,True
Belgium,Europe,False,80.18292683,9.794792242,10.23324585,7903.955479,22.7830251,39840.0882,75.0,99.99999861,22.2,5.03,True
Belgium,Europe,False,80.58536585,8.740505152,10.39208412,8393.949623,22.77926024,40942.37271,81.609996,100.0000029,22.5,4.89,True
Belgium,Europe,False,80.38536585,8.577525877,10.50650597,8028.798731,22.77549538,42290.76205,80.71999055,99.99999711,22.9,4.78,True
Belgium,Europe,False,80.58780488,8.655477512,10.56133938,7988.524644,22.77173052,43671.11959,82.1702,99.9999974,23.3,4.6,True
Belgium,Europe,False,81.28780488,8.041711215,10.59411144,7989.671853,22.76796565,44929.68559,85.0,99.99999728,23.7,4.72,True
Belgium,Europe,False,80.99268293,8.437851999,10.43065357,7709.123078,22.76420079,46200.90445,85.05294175,99.9999977,24.1,4.6,True
Benin,Africa,True,55.391,0.206817822,3.10270309,51.91997361,36.67213551,1757.721011,0.225247851,62.21775574,4.2,0.54424,False
Benin,Africa,True,55.668,0.245876343,3.24910021,58.11289515,36.22871586,1836.786562,0.36341789,62.385879,4.4,0.66626,False
Benin,Africa,True,56.025,0.298818443,3.04335403,61.46908571,35.7852962,1893.515263,0.702945595,62.56639848,4.6,0.74333,False
Benin,Africa,True,56.436,0.324444105,3.0376544,68.26219261,35.34187655,1937.578233,0.951327115,62.76878216,4.8,0.71192,False
